Product Name,Customer ID,Order City,Quantity,Total Sales Value,Order Status,Timestamp,Unit Price
Keyboard,33f8d812-290e-4b71-9db7-8f27aaa81b0f,Seattle,6,911.1,Pending,2/23/2024,151.85
Tablet,5a7c8b80-e2f7-4c1a-bda2-cc0109a69e7f,Miami,6,495.06,Pending,5/14/2024,82.51
Camera,1e13337b-aeeb-4a5a-8ced-8b6e7683f7ae,Houston,2,11.72,Cancelled,6/28/2024,5.86
Smartphone,d2e022b4-ef09-4e13-921b-bba16b30c892,Dallas,6,1610.52,Cancelled,2/10/2024,268.42
Monitor,07aec762-dc9f-4688-a7e5-c53d443b8073,Houston,3,611.7,Pending,5/4/2024,203.9
Gaming Console,a74382bf-3118-4c2c-b5f9-8b11eafe300b,Chicago,1,352.66,Pending,9/5/2024,352.66
Tablet,8be34e05-db61-4eef-b8fc-6b3a200623f8,Chicago,3,1317.69,Pending,8/20/2024,439.23
Gaming Console,3e4dd25b-aef0-4340-83d9-63fb64a091a6,Houston,6,1315.8,Pending,8/31/2024,219.3
Camera,3df14543-6b8a-4a23-9cd1-e8d7871e9c00,Dallas,7,996.94,Pending,12/31/2024,142.42
Tablet,611f9094-f0a7-462e-86c5-4db1bb8c274c,San Francisco,3,525.36,Shipped,8/31/2024,175.12
Tablet,c28aa44b-0a39-41b3-8270-270d285dd721,Chicago,10,74,Pending,6/5/2024,7.4
Smartphone,b7bc1eb2-76b3-4ba6-ac39-d6e1ec75e526,Phoenix,6,2851.14,Shipped,8/28/2024,475.19
Laptop,9e91b8ba-948c-4089-aecc-a4770619121d,Chicago,5,415.55,Shipped,5/25/2024,83.11
Camera,73aa06c6-87f3-4da8-8959-0985869231bd,Los Angeles,1,169.6,Shipped,8/20/2024,169.6
Laptop,50d0dc93-7e21-4342-bfdb-3104a9c44027,Seattle,6,804.84,Shipped,3/30/2024,134.14
Monitor,b125f0a4-7591-4ad2-87e1-1a2ee638e998,San Francisco,8,2418.48,Shipped,4/21/2024,302.31
Mouse,e4225db8-58eb-437b-8e7d-285e529a0df7,Phoenix,9,814.59,Cancelled,9/17/2024,90.51
Smartphone,c698cae5-fd68-4ca9-9864-c9f0eee7de42,Miami,1,448.34,Cancelled,8/21/2024,448.34
Smartwatch,786fef2e-4d43-4c22-9394-ae2f22d721e8,Los Angeles,8,237.36,Shipped,8/1/2024,29.67
Smartphone,003c9d8a-159a-4ec9-8b7d-7f4eac54887a,Miami,3,1096.74,Cancelled,8/22/2024,365.58
Mouse,0751c1af-769b-4594-b706-3f9ce52e09a7,Houston,4,245.04,Shipped,6/15/2024,61.26
Tablet,fe68d56b-26af-479a-8541-b815e1e012e8,Los Angeles,1,20.53,Delivered,12/19/2024,20.53
Headphones,b2047493-3b23-44df-bcea-d4d4e9528f5d,Chicago,7,2849.77,Shipped,4/16/2024,407.11
Monitor,c3ccb94c-2cae-4a49-890d-bd6e451f519c,Chicago,1,46.8,Cancelled,7/22/2024,46.8
Mouse,3e3cbf95-021a-4722-82b8-99adcc3ccd04,Los Angeles,10,4936.7,Shipped,5/11/2024,493.67
